user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Are many beetles territorial?,"['Many agricultural, forestry, and household insect pests are beetles. These include the following:']","There are about 350,000 species of beetles.",Yes.,,,,
Are beetles endopterygotes with complete metamorphosis?,['Beetles are endopterygotes with complete metamorphosis.'],yes.,Yes.,,,,
Oxygen is what?,"['Oxygen is obtained via a tracheal system. Air enters a series of tubes along the body through openings called spiracles, and is then taken into increasingly finer fibres. Pumping movements of the body force the air through the system.']",obtained via a tracheal system.,One kind of gas obtained via a tracheal system.,,,,
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,"['Beetle collection at the Melbourne Museum, Australia']",There is a thriving industry.,Yes.,,,,
Have coleopterists formed organisations to facilitate the study of beetles ?,"['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",Coleopterists have formed organisations.,Yes.,,,,
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?","['The study of beetles is called coleopterology, and its practitioners are coleopterists. Coleopterists have formed organisations to facilitate the study of beetles. Among these is The Coleopterists Society, an international organisation based in the United States. Such organisations may have both professionals and amateurs interested in beetles as members.']",Yes.,Yes.,,,,
May a single female lay from several dozen to several thousand eggs during her lifetime ?,"['A single female may lay from several dozen to several thousand eggs during her lifetime. Eggs are usually laid according to the substrate the larva will feed on upon hatching. Among others, they can be laid loose in the substrate (e.g. flour beetle), laid in clumps on leaves (e.g. Colorado potato beetle), or individually attached (e.g. mungbean beetle and other seed borers) or buried in the medium (e.g. carrot weevil).']",A single female may lay from several dozen to several thousand eggs during her lifetime.,Yes.,,,,
Can beetles be found in almost all habitats?,"['Many agricultural, forestry, and household insect pests are beetles. These include the following:']",Can be found in almost all habitats.,Yes.,,,,
What happened on plants and fungi?,"['Today, there are over 1,200 species of vascular plant, 800 bryophytes and 1,000 lichen species in Finland, with flora being richest in the southern parts of the country. Plant life, like most of the Finnish ecology, is well adapted to tolerate the contrasting seasons and extreme weather. Many plant species, such as the Scots Pine, spruce, birch spread throughout Finland from Norway and only reached the western coast less than three millennia ago. Oak and maple grows in nature only in the southern part of Finland.']",spread throughout Finland from Norway and only reached the western coast less than three millennia ago.,They are food to beetles.,,,,
Was Calvin Coolidge the twenty-ninth vice president?,"['Coolidge with his Vice President, Charles G. Dawes.']",yes.,no,,,,
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?","[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notch. Fuess, 7  Most of Coolidge's ancestors were farmers. The more well-known Coolidges, such as architect Charles Allerton Coolidge, and diplomat Archibald Cary Coolidge, were descended from other branches of the family that had stayed in Massachusetts.  Coolidge's grandmother Sarah Almeda Brewer had two famous first cousins: Arthur Brown, a United States Senator, and Olympia Brown, a women's suffragist.""]",Coolidge's ancestors were farmers.,yes,,,,
Did Coolidge graduate from Black River Academy?,['Coolidge as an Amherst undergraduate'],Yes.,yes,,,,
When did he drop John from his name?,['Watt had a brother by the name of John. He was shipwrecked when James was 17.'],James was 17.,upon graduating from college,,,,
When did Coolidge meet and marry Grace Anna Goodhue?,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autumn, 2001. Retrieved from Internet Archive on May 18, 2007.  They had two sons; John Coolidge, born in 1906, and Calvin Jr., born in 1908. White, 65â\x80\x9366  The marriage was, by most accounts, a happy one. Fuess, 89â\x80\x9392; Sobel, 57â\x80\x9358. Some biographers disagree with this rosy portrait, see Ferrell, 21â\x80\x9323  As Coolidge wrote in his Autobiography, ""We thought we were made for each other. For almost a quarter of a century she has borne with my infirmities, and I have rejoiced in her graces."" Autobiography, 93']",Maurice.,1905,,,,
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"['During Coolidge\'s presidency the United States experienced the period of rapid economic growth known as the ""Roaring Twenties."" His economic policy has often been misquoted as ""generally speaking, the business of the American people is business"" (full quotation below, at left). Although some commentators have criticized Coolidge as a doctrinaire laissez-faire ideologue, historian Robert Sobel offers some context based on Coolidge\'s sense of federalism: ""As Governor of Massachusetts, Coolidge supported wages and hours legislation, opposed child labor, imposed economic controls during World War I, favored safety measures in factories, and even worker representation on corporate boards. Did he support these measures while president? No, because in the 1920s, such matters were considered the responsibilities of state and local governments."" Sobel, Robert.  Coolidge and American Business. John F. Kennedy Library and Museum. Retrieved from March 08, 2006 version in Internet Archive on May 18, 2007. See also Greenberg, 47.']","Greenberg, 47.",the Roaring Twenties,,,,
What did Coolidge do after graduating from Amherst?,['Coolidge as an Amherst undergraduate'],He dropped John from his name upon graduating from college.,"Coolidge moved to Northampton, MassachuS08_setts",,,,
Of what state was Coolidge governor?,['Calvin Coolidge as a young legislator'],Massachusetts.,MassachuS08_setts,,,,
Who appointed Harlan Fiske Stone to the Supreme Court?,['Chief Justice Harlan Fiske Stone'],Coolidge.,Coolidge,,,,
Was Coolidge the thirteenth President of the United States?,"['Coolidge with his Vice President, Charles G. Dawes.']",no,No,,,,
Was Calvin Coolidge Republican?,['Calvin Coolidge as a young legislator'],no.,Yes,,,,
Was Calvin Coolidge a governor of MassachuS08_setts?,['Calvin Coolidge as a young legislator'],yes,Yes,,,,
When was Coolidge born?,['Calvin Coolidge as a young legislator'],"January 3, 1921.",July 4 1872,,,,
Where did Coolidge's grandfather had government offices?,"[""Coolidge's father, John Calvin Coolidge, Sr.""]",Plymouth Notch.,Plymouth,,,,
Which state were Coolidge born in?,"[""John Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notch. Fuess, 7  Most of Coolidge's ancestors were farmers. The more well-known Coolidges, such as architect Charles Allerton Coolidge, and diplomat Archibald Cary Coolidge, were descended from other branches of the family that had stayed in Massachusetts.  Coolidge's grandmother Sarah Almeda Brewer had two famous first cousins: Arthur Brown, a United States Senator, and Olympia Brown, a women's suffragist.""]",Coolidge's ancestors were farmers.,"Plymouth, Windsor County, Vermont",,,,
Is Calvin Jr. older than John Coolidge?,['Calvin Coolidge as a young legislator'],no.,No,,,,
Did Coolidge get in Amherst College?,['Coolidge as an Amherst undergraduate'],failed his initial entrance exam.,Yes,,,,
What caused Calvin Jr.'s death?,"['He died suddenly of a heart attack at his home in Northampton, ""The Beeches,"" at 12:45 p.m., January 5 1933. Greenberg, 154â\x80\x93155  Shortly before his death, Coolidge confided to an old friend: ""I feel I am no longer fit in these times."" Sobel, 410']",heart attack.,heart attack,,,,
Was John Calvin Coolidge Jr. was born in Las Vegas?,"[""Coolidge's father, John Calvin Coolidge, Sr.""]",no,No,,,,
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,"[""Coolidge was unopposed for the Republican nomination for Governor of Massachusetts in 1918. He and his running mate, Channing Cox, a Boston lawyer and Speaker of the Massachusetts House of Representatives, ran on the previous administration's record: fiscal conservatism, a vague opposition to Prohibition, support for women's suffrage, and support for American involvement in the First World War. Sobel, 111; McCall, 75â\x80\x9376  The issue of the war proved divisive, especially among Irish- and German-Americans. Sobel, 112  Coolidge was elected by a margin of 16,773 votes over his opponent, Richard H. Long, in the smallest margin of victory of any of his state-wide campaigns. Sobel, 115; McCall, 76""]",Governor of Massachusetts.,Yes,,,,
Did Coolidge meet and marry Grace Anna Goodhue?,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autumn, 2001. Retrieved from Internet Archive on May 18, 2007.  They had two sons; John Coolidge, born in 1906, and Calvin Jr., born in 1908. White, 65â\x80\x9366  The marriage was, by most accounts, a happy one. Fuess, 89â\x80\x9392; Sobel, 57â\x80\x9358. Some biographers disagree with this rosy portrait, see Ferrell, 21â\x80\x9323  As Coolidge wrote in his Autobiography, ""We thought we were made for each other. For almost a quarter of a century she has borne with my infirmities, and I have rejoiced in her graces."" Autobiography, 93']",Maurice.,Yes,,,,
What year did Coolidge open his own law office?,"['Coolidge with his Vice President, Charles G. Dawes.']",1968.,1898,,,,
What fraternity was Coolidge a member of?,"['Coolidge graduated from Black River Academy, Vermont, but failed his initial entrance exam to Amherst College.  Vermont Historical Society biography of Calvin Coolidge accessed December 6 2007  He spent one term at St. Johnsbury Academy, Vermont before entering Amherst.  Accomplished alumni. Amherst College, where he was a member of the Fraternity of Phi Gamma Delta. Retrieved on May 18, 2007  He dropped John from his name upon graduating from college. At Amherst, Coolidge became a member of the Fraternity of Phi Gamma Delta and joined the College Republicans in 1892. White, 35  While there, Coolidge met Dwight Morrow, who would become a life-long friend. Sobel, 36  Coolidge would later credit Charles E. Garman, a professor of philosophy and ethics, with having a significant influence on his education. Autobiography, 63â\x80\x9370  He graduated cum laude in 1895. Sobel, 41  At graduation, Coolidge was selected by his classmates to compose and read the Grove Oration, a humorous speech traditionally given during the graduation ceremony.']","philosophy and ethics, with having a significant influence on his education.",Phi Gamma Delta,,,,
In 1905 Coolidge met and married whom?,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autumn, 2001. Retrieved from Internet Archive on May 18, 2007.  They had two sons; John Coolidge, born in 1906, and Calvin Jr., born in 1908. White, 65â\x80\x9366  The marriage was, by most accounts, a happy one. Fuess, 89â\x80\x9392; Sobel, 57â\x80\x9358. Some biographers disagree with this rosy portrait, see Ferrell, 21â\x80\x9323  As Coolidge wrote in his Autobiography, ""We thought we were made for each other. For almost a quarter of a century she has borne with my infirmities, and I have rejoiced in her graces."" Autobiography, 93']",Maurice.,Grace Anna Goodhue,,,,
Why did Coolidge not attend law school?,['Calvin Coolidge as a young legislator'],Calvin Coolidge was a young legislator.,It was too expensive,,,,
Have there been other US presidents that have visited Cuba?,"[""Coolidge continued the previous administration's policy not to recognize the Soviet Union. McCoy, 181  He also continued the United States' support for the elected government of Mexico against the rebels there, lifting the arms embargo on that country. McCoy, 178â\x80\x93179  He sent his close friend Dwight Morrow to Mexico as the American ambassador. Sobel, 349  Coolidge represented the U.S. at the Pan American Conference in Havana, Cuba, making him the only sitting U.S. President to visit the country. The United States' occupation of Nicaragua and Haiti continued under his administration, but Coolidge withdrew American troops from the Dominican Republic in 1924. Fuess, 414â\x80\x93417; Ferrell, 122â\x80\x93123""]",No.,No,,,,
What years were Coolidge's two sons born in?,"[""Coolidge's father, John Calvin Coolidge, Sr.""]",1872.,1906 and 1908,,,,
Did France cede nearly all of its colonies in Europe in 1763?,"['The lands have been inhabited for millennia by aboriginal peoples. Beginning in the late 15th century, British and French expeditions explored and later settled the Atlantic coast. France ceded nearly all of its colonies in North America in 1763 after the Seven Years War.']",no.,Yes.,,,,
Is Canada a member of the OECD?,['Canada joined the Organization of American States (OAS) in 1990; Canada hosted the OAS General Assembly in Windsor in June 2000 and the third Summit of the Americas in Quebec City in April 2001. Canada seeks to expand its ties to Pacific Rim economies through membership in the Asia-Pacific Economic Cooperation forum (APEC).'],yes.,Yes.,,,,
Is Canada's official language Zulu?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.""]",no,No.,,,,
What is one significant non-official language?,"['Non-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).']",Chinese.,Chinese.,,,,
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?","['French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.']",Quebec City.,Quebec City,,,,
What was the Consitution Act formerly called?,['* Vetoed Volstead Act in 1919. It was passed over his veto.'],Volstead Act.,The British North America Act.,,,,
Which countries established colonies in Canada?,"['Following several constitutional conferences, the British North America Act brought about Confederation creating ""one Dominion under the name of Canada"" on July 1, 1867 with four provinces: Ontario, Quebec, Nova Scotia, and New Brunswick.     Canada assumed control of Rupert\'s Land and the North-Western Territory to form the Northwest Territories, where MÃ©tis\' grievances ignited the Red River Rebellion and the creation of the province of Manitoba in July 1870. British Columbia and Vancouver Island (which had united in 1866) and the colony of Prince Edward Island joined Confederation in 1871 and 1873, respectively.']",British North America Act.,France and Britain.,,,,
How has Canada helped UN peacekeeping efforts?,"['Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force.      Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989    ']",Canada has played a leading role in UN peacekeeping efforts.,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",,,,
What percentage of the population don't speak English or French at home?,"['English and French are the mother tongues of 59.7% and 23.2% of the population respectively,    and the languages most spoken at home by 68.3% and 22.3% of the population respectively.    98.5% of Canadians speak English or French (English only: 67.5%, French only: 13.3%, both: 17.7%).    English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.']",Romanian is spoken as a first language by 91% of the population.,28%,,,,
Is Canada bilingual?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.""]",Inuktitut is the majority language in Nunav,Yes.,,,,
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,['Canadian soldiers would win the Battle of Vimy Ridge in 1917.'],yes.,Yes,,,,
Is an official language of Canada German?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.""]",Inuktitut is the majority language in Nunav,No.,,,,
How many provinces and territories does Canada have?,"['Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into numerous regions. Western Canada consists of British Columbia and three Prairie provinces (Alberta, Saskatchewan, Manitoba). Eastern Canada consists of Central Canada (Quebec and Ontario) and Atlantic Canada (comprised of the three Maritime provinces of New Brunswick, Prince Edward Island, and Nova Scotia; and Newfoundland and Labrador).  Three territories (Yukon, Northwest Territories, and Nunavut) comprise Northern Canada. Provinces have a large degree of autonomy from the federal government,  territories somewhat less. Each has its own provincial or territorial symbols.']",ten provinces.,A federation now comprising ten provinces and three territories,,,,
What is Canada's national unemployment rate?,"[""Canada is one of the world's wealthiest nations with a high per capita income, a member of the Organisation for Economic Co-operation and Development (OECD) and Group of Eight (G8).  Canada is a free market economy with slightly more government intervention than the United States, but much less than most European nations.    Canada has traditionally had a lower per capita gross domestic product (GDP) than its southern neighbour (whereas wealth has been more equally divided), but higher than the large western European economies      . Since the early 1990's, the Canadian economy has been growing rapidly with low unemployment and large government surpluses on the federal level. Today Canada closely resembles the US in its market-oriented economic system, pattern of production, and high living standards.  While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador.""]",Canada-US Free Trade Agreement (FTA).,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",,,,
Where is the most densely populated part of Canada?,"['The population density,  , is among the lowest in the world.    The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.   ']",along the Great Lakes and Saint Lawrence River in the southeast.,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,,,,
What is the largest country in the world?,"[""At  ,  World Factbook area rank order  Egypt is the world's 38th-largest country (after Mauritania). It is comparable in size to Tanzania, twice the size of France, four times the size of the United Kingdom, and is more than half the size of the US state of Alaska.""]",Egypt.,"Canada is the second largest country in the world, after Russia, and largest on the continent.",,,,
What is the largest religious group in Canada?,"[""Support for religious pluralism is an important part of Canada's political culture.  According to 2001 census,    77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%.""]",Catholics.,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",,,,
When did Canada have one of the largest armed forces in the world?,"['Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel.    The unified Canadian Forces (CF) comprise the army, navy, and air force. Major CF equipment deployed includes 1,400 armoured fighting vehicles, 34 combat vessels, and 861 aircraft.']",1944.,1944.,,,,
What have been inhabited for millennia by aboriginal peoples?,"['The lands have been inhabited for millennia by aboriginal peoples. Beginning in the late 15th century, British and French expeditions explored and later settled the Atlantic coast. France ceded nearly all of its colonies in North America in 1763 after the Seven Years War.']",The lands.,The lands,,,,
European books and maps began referring to this region as Canada in what year?,"['The name Canada comes from a St. Lawrence Iroquoian word meaning ""village"" or ""settlement.""  In 1535, inhabitants of the present-day Quebec City region used the word to direct explorer Jacques Cartier toward the village of Stadacona.    Cartier used the word \'Canada\' to refer to not only that village, but the entire area subject to Donnacona, Chief at Stadacona. By 1545, European books and maps began referring to this region as Canada.']",1545.,1545,,,,
What was Canada's most important industry until the 1800s?,"[""The fur trade was Canada's most important industry until the 1800s""]",The fur trade.,The fur trade,,,,
Is it true that it angered many residents of the thirteen colonies?,['   Adjustment of colonial claims (decolonization and national self-determination) '],yes.,yes,,,,
How do cuba and declining participation relate?,"[""Fillmore's greatest difficulty with the fugitive slave law was how to enforce it without seeming to show favor towards Southern Whigs. His solution was to appease both northern and southern Whigs by calling for the enforcement of the fugitive slave law in the North, and enforcing in the South a law forbidding involvement in Cuba (for the sole purpose of adding it as a slave state).""]",the sole purpose of adding it as a slave state.,Canada maintains full relations with both.,,,,
Is it true that provinces have a large degree of autonomy?,[';Provinces and territories'],no.,yes,,,,
What did Canada adopt in 1965?,"['Under successive Liberal governments of Lester B. Pearson and Pierre Trudeau, a new Canadian identity emerged. Canada adopted its current Maple Leaf Flag in 1965. In response to a more assertive French-speaking Quebec, the federal government became officially bilingual with the Official Languages Act of 1969.  Non-discriminatory Immigration Acts were introduced in 1967 and 1976, and official multiculturalism in 1971; waves of non-European immigration had changed the face of the country. Social democratic programs such as Universal Health Care, the Canada Pension Plan, and Canada Student Loans were initiated in the 1960s and consolidated in the 1970s; provincial governments, particularly Quebec, fought these as incursions into their jurisdictions. Finally, Prime Minister Pierre Trudeau pushed through the patriation of the constitution from Britain, enshrining a Charter of Rights and Freedoms based on individual rights in the Constitution Act of 1982.']",Maple Leaf Flag.,The Maple Leaf Flag,,,,
What arrived in Britain?,['Canada was a major front in the War of 1812 between the United States and British Empire. Its defence contributed to a sense of unity among British North Americans. Large-scale immigration to Canada began in 1815 from Britain and Ireland. The timber industry would also surpass the fur trade in importance in the early 1800s.'],Large-scale immigration.,The first Canadian Army units in WW II,,,,
Are Canada 's two official languages English and French ?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.""]",Inuktitut is the majority language in Nunav,yes,,,,
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,"[""Canada's official national sports are ice hockey (winter) and lacrosse (summer).    Hockey is a national pastime and the most popular spectator sport in the country. It is the most popular sport Canadians play, with 1.65 million active participants in 2004.    Canada's six largest metropolitan areas - Toronto, Montreal, Vancouver, Ottawa, Calgary, and Edmonton - have franchises in the National Hockey League (NHL), and there are more Canadian players in the league than from all other countries combined. After hockey, other popular spectator sports include curling and football; the latter is played professionally in the Canadian Football League (CFL). Golf, baseball, skiing, soccer, volleyball, and basketball are widely played at youth and amateur levels,  but professional leagues and franchises are not as widespread.""]",Canada's official national sports are ice hockey (winter) and lacrosse (summer).,yes,,,,
Is Canada a geographically vast and ethnically diverse country ?,"['Canada is a geographically vast and ethnically diverse country. There are cultural variations and distinctions from province to province and region to region. Canadian culture has also been greatly influenced by immigration from all over the world. Many Canadians value multiculturalism, and see Canadian culture as being inherently multicultural.  Multicultural heritage is enshrined in Section 27 of the Canadian Charter of Rights and Freedoms.']",Canada is geographically vast and ethnically diverse country.,yes,,,,
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,"[""The English established fishing outposts in Newfoundland around 1610 and colonized the Thirteen Colonies to the south. A series of four Intercolonial Wars erupted between 1689 and 1763. Mainland Nova Scotia came under British rule with the Treaty of Utrecht (1713); the Treaty of Paris (1763) ceded Canada and most of New France to Britain following the Seven Years' War.""]",unanswerable,no!,,,,
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?","['The name Canada comes from a St. Lawrence Iroquoian word meaning ""village"" or ""settlement.""  In 1535, inhabitants of the present-day Quebec City region used the word to direct explorer Jacques Cartier toward the village of Stadacona.    Cartier used the word \'Canada\' to refer to not only that village, but the entire area subject to Donnacona, Chief at Stadacona. By 1545, European books and maps began referring to this region as Canada.']","Cartier used the word 'Canada' to refer to not only that village, but the entire area subject to Donnacona, Chief at Stadacona.",yes,,,,
Did continental European immigrants not S08_settle the prairies ?,"['French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.']",Acadians settled the present-day Maritimes.,no,,,,
Is it the world 's second largest country by total area?,"[""At  ,  World Factbook area rank order  Egypt is the world's 38th-largest country (after Mauritania). It is comparable in size to Tanzania, twice the size of France, four times the size of the United Kingdom, and is more than half the size of the US state of Alaska.""]",no.,yes,,,,
What happened in 1867?,['Canada was a major front in the War of 1812 between the United States and British Empire. Its defence contributed to a sense of unity among British North Americans. Large-scale immigration to Canada began in 1815 from Britain and Ireland. The timber industry would also surpass the fur trade in importance in the early 1800s.'],"Canada was formed as a federal, semi-autonomous polity.","Canada was formed as a federal, semi-autonomous polity",,,,
Are ducks in the Arctic Northern Hemisphere migratory?,"['Some duck species, mainly those breeding in the temperate and Arctic Northern Hemisphere, are migratory; those in the tropics, however, are generally not. Some ducks, particularly in Australia where rainfall is patchy and erratic, are nomadic, seeking out the temporary lakes and pools that form after localised heavy rain.']",yes.,Some are,,,,
Is a drake a male?,"['Some people use ""duck"" specifically for adult females and ""drake"" for adult males, for the species described here; others use ""hen"" and ""drake"", respectively.']",yes.,Yes,,,,
"Do all ducks ""quack""?","['Despite widespread misconceptions, most ducks other than female Mallards and domestic ducks do not ""quack""; for example, the scaup makes a noise like ""scaup"", which its name came from.']",no.,No,,,,
What is the name of a specialized species of duck adapted to catch large fish?,"['A few specialized species such as the smew, goosander, and the mergansers are adapted to catch large fish.']",the mergansers.,the smew,,,,
What animal attracts the most humor and silliness?,"['In 2002, psychologist Richard Wiseman and colleagues at the University of Hertfordshire (UK) finished a year-long LaughLab experiment, concluding that, of the animals in the world, the duck is the type that attracts most humor and silliness; he said ""If you\'re going to tell a joke involving an animal, make it a duck."" The word ""duck"" may have become an inherently funny word in many languages because ducks are seen as a silly animal, and their odd appearance compared to other birds. Of the many ducks in fiction, many are silly cartoon characters like Daffy Duck (see the New Scientist article  mentioning humor in the word ""duck"").']",duck.,The duck,,,,
What is an economic use of a duck?,"['Ducks have many economic uses, being farmed for their meat, eggs, feathers, (particularly their down). They are also kept and bred by aviculturists and often displayed in zoos. All domestic ducks are descended from the wild Mallard Anas platyrhynchos, except the Muscovy Duck']","farmed for their meat, eggs, feathers, (particularly their down).",Meat,,,,
Who is Daffy Duck?,"['The word duck (from Anglo-Saxon dÅ«ce), meaning the bird, came from the verb ""to duck"" (from Anglo-Saxon supposed *dÅ«can) meaning ""to bend down low as if to get under something"" or ""to dive"", because of the way many species in the dabbling duck group feed by upending (compare Dutch duiken, German tauchen = ""to dive"").']",cartoon characters.,A silly cartoon character,,,,
What makes it more difficult for a diving duck to fly?,"['Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.']",heavier than dabbling ducks,They are heavier,,,,
